node_id,x_mm,y_mm,z_mm,rho
148,8.081394816000001,-1.0,2.182113866,0.21081
149,0.8232439617999999,-1.0,3.538227759,0.99117
150,2.9022403609999996,-1.0,-4.467732274,1.0
151,-3.9862586019999995,-1.0,8.087594058999999,0.90741
152,10.17181591,-1.0,5.0134676559999996,0.24548
153,2.0029108,-1.0,0.6268386378999999,0.99109
154,8.462733118000001,-1.0,-1.19804483,0.33399
155,-1.090349942,-1.0,1.259344062,0.94559
156,-9.194444399,-1.0,4.375000014,0.21879
157,-8.300823083,-1.0,1.538079759,0.17124
158,6.932870349,-1.0,5.937500002999999,0.44803
159,0.6476714092,-1.0,-5.631575333,1.0
160,-9.214747629,-1.0,-1.546767089,0.26397
161,-13.248382379999999,-1.0,3.582769209,0.0072111
162,-13.51388893,-1.0,8.749999979,0.79935
163,13.42592637,-1.0,4.399999996,0.24637
164,-14.875947909999999,-1.0,5.987153642,0.24835
165,6.101794085,-1.0,9.136866519,0.89283
166,-10.26164777,-1.0,8.84513881,0.76257
167,-6.361111067,-1.0,4.6249999289999995,0.4728
168,-2.500000022,-1.0,-6.0000002850000005,1.0
169,0.8762879946000001,-1.0,-3.41637268,1.0
170,14.92592661,-1.0,8.00000005,0.81345
171,2.726288382,-1.0,-2.206362112,0.99991
172,3.163194378,-1.0,-6.218750185,1.0
173,3.111111078,0.1,2.9999999479999997,0.90729
174,-7.943243819999999,0.1,1.63960349,0.27632
175,8.961640264,0.1,8.364285695,0.74082
176,-10.92747427,0.1,6.347670737,0.37847
177,-5.304382717999999,0.1,7.7387122129999995,0.88308
178,6.6730560930000005,0.1,1.41275561,0.41554
179,12.526878289999999,0.1,7.219874215,0.72626
180,-5.3316062109999995,0.1,-1.5045953129999998,0.81604
181,1.614065501,0.1,-0.739512844,0.99694
182,2.488914985,0.1,7.916381811,0.94752
183,6.435170068000001,0.1,5.331844406,0.55291
184,-1.7820189180000001,0.1,-0.9701217567,0.97943
185,-1.543144168,0.1,8.320727603,1.0
186,-4.286885929,0.1,2.07756271,0.76452
187,9.851851811,0.1,5.000000043,0.1552
188,-14.27108496,0.1,5.985427459,0.28265
189,6.163149192,0.1,-1.7916951829999999,0.76997
190,-8.475761477,0.1,-1.279211634,0.37536
191,8.917010724,0.1,-1.180926255,0.24874
192,13.42592637,0.1,4.399999996,0.19318
193,5.814287553000001,0.1,9.102085318999999,0.87949
194,4.271438296,0.1,0.1932339323,0.94888
195,-13.43479941,0.1,8.837155074,0.80003
196,-12.37290421,0.1,3.80145163,0.0049421
197,-8.888888871,0.1,8.749999979,0.90283
198,-3.102846078,0.1,5.057403764,0.87347
199,-9.439302198,0.1,4.119254466,0.068154
200,-14.891331860000001,0.1,3.926287314,0.029496
201,-6.27268394,0.1,4.646021907,0.39337
202,3.703331179,0.1,-2.005586333,0.99954
203,-0.04033156263,0.1,4.740273315,0.99652
204,14.92592661,0.1,8.00000005,0.78075
205,0.3611110927,0.1,1.499999877,0.98088
206,9.195568996999999,0.1,1.276944673,0.015086
207,-8.119506946000001,0.1,6.280779034,0.55432
208,16.00617302,-0.45,9.600000012999999,1.0
209,10.25,0.1,-4.0,0.23396
210,11.0,0.1,-3.25,0.10182
211,11.0,-0.45,-4.0,0.10604
212,10.25,-0.45,-4.0,0.20865
213,5.75,0.1,-4.0,0.97655
214,4.166666666999999,0.1,-4.0,0.99773
215,5.0,-0.45,-4.0,0.99622
216,5.0,0.1,-4.666666667,0.99773
217,5.581574596,0.1,-2.895847591,0.88271
218,4.35166559,0.1,-3.002793167,0.99749
219,8.75,0.1,-4.0,0.51028
220,10.25,0.1,-3.25,0.19667
221,9.5,-0.45,-4.0,0.3035
222,8.75,-0.45,-4.0,0.51547
223,9.208505362,0.1,-2.5904631269999996,0.28878
224,7.25,0.1,-4.0,0.82469
225,8.0,-0.45,-4.0,0.69692
226,7.25,-0.45,-4.0,0.77412
227,7.081574596,0.1,-2.895847591,0.73085
228,8.458505361999999,0.1,-2.5904631269999996,0.47024
229,5.75,-0.45,-4.0,0.97731
230,6.5,-0.45,-4.0,0.90708
231,6.331574595999999,0.1,-2.895847591,0.86381
232,-4.166666666999999,0.1,-4.0,0.99951
233,-5.75,0.1,-4.0,0.9525
234,-5.0,-0.45,-4.0,0.999
235,-5.75,-0.45,-4.0,0.98365
236,-5.0,0.1,-4.666666667,0.99951
237,-5.165803105,0.1,-2.752297656,0.90753
238,2.5,0.1,-4.0,1.0
239,4.166666666999999,-0.45,-4.0,0.99849
240,4.166666666999999,-0.45,-4.666666667,1.0
241,4.166666666999999,0.1,-4.666666667,1.0
242,4.166666666999999,0.1,-5.333333333,1.0
243,3.333333333,0.1,-6.0,1.0
244,3.117786847,-0.45,-4.233866137,1.0
245,3.029810858,-0.45,-3.1031810560000004,0.99996
246,3.248263855,-0.45,-5.109375093000001,1.0
247,3.5183322560000003,0.1,-3.002793167,0.99977
248,0.8333333333,0.1,-4.0,1.0
249,2.5,0.1,-6.0,1.0
250,1.6666666669999999,0.1,-6.0,1.0
251,2.2844535140000004,-0.45,-4.233866137,1.0
252,1.1571690380000001,-0.45,-4.815787666,1.0
253,1.271477331,-0.45,-3.70818634,1.0
254,2.196477525,-0.45,-3.1031810560000004,0.99996
255,2.414930522,-0.45,-5.109375093000001,1.0
256,1.640366084,0.1,-2.369756422,0.99847
257,2.6849989229999998,0.1,-3.002793167,0.99977
258,-0.8333333333,0.1,-4.0,1.0
259,0.8333333333,0.1,-6.0,1.0
260,8.67361738e-16,0.1,-6.0,1.0
261,-0.7701863736,-0.45,-3.7845396659999997,0.99978
262,-0.01962957485,-0.45,-2.739987486,0.99697
263,0.3238357046,-0.45,-4.815787666,1.0
264,0.43814399730000003,-0.45,-3.70818634,1.0
265,0.8070327503,0.1,-2.369756422,0.99847
266,-0.8910094590000001,0.1,-2.4850608779999996,0.98972
267,-2.5,0.1,-4.0,1.0
268,-0.8333333333,0.1,-6.0,1.0
269,-1.6666666669999999,0.1,-6.0,1.0
270,-1.603519707,-0.45,-3.7845396659999997,0.99978
271,-0.5094976286999999,-0.45,-4.815787666,1.0
272,-2.083333344,-0.45,-5.000000142,1.0
273,-1.724342792,0.1,-2.4850608779999996,0.98972
274,-4.166666666999999,-0.45,-4.0,0.99949
275,-2.5,0.1,-6.0,1.0
276,-3.333333333,0.1,-6.0,1.0
277,-4.166666666999999,0.1,-4.666666667,1.0
278,-2.43685304,-0.45,-3.7845396659999997,0.99978
279,-3.416666643,-0.45,-2.375000066,0.97658
280,-2.916666678,-0.45,-5.000000142,1.0
281,-4.332469772,0.1,-2.752297656,0.90802
282,-2.557676126,0.1,-2.4850608779999996,0.98972
283,-10.25,0.1,-4.0,0.15965
284,-11.0,0.1,-3.25,0.063444
285,-11.0,-0.45,-4.0,0.10442
286,-11.0,-0.45,-3.25,0.066517
287,-7.25,0.1,-4.0,0.79419
288,-6.5,-0.45,-4.0,0.93712
289,-7.25,-0.45,-4.0,0.83039
