Node Number	Topology Density ( )
488	0.20225
489	0.30504
490	0.27845
491	0.57223
492	1.3193e-002
493	1.3193e-002
494	1.3193e-002
495	3.3586e-002
496	0.13638
497	0.10978
498	0.
499	0.
500	0.
501	3.554e-007
502	0.10541
503	0.12274
504	0.12319
505	7.76e-002
506	9.6592e-002
507	7.5429e-003
508	0.
509	0.
510	0.
511	0.12319
512	9.6592e-002
513	0.
514	0.
515	0.
516	0.12319
517	9.6592e-002
518	0.
519	0.
520	0.12319
521	9.6592e-002
522	6.6087e-004
523	3.554e-007
524	9.105e-004
525	0.12437
526	7.5429e-003
527	3.2927e-002
528	1.5714e-003
529	3.254e-002
530	0.12503
531	6.8755e-002
532	0.17136
533	6.4146e-002
534	0.15664
535	5.6063e-005
536	5.6063e-005
537	0.10945
538	8.5674e-002
539	3.6616e-003
540	2.5271e-003
541	3.4133e-002
542	0.
543	1.3196e-002
544	0.
545	3.6056e-003
546	2.4711e-003
547	0.
548	3.6056e-003
549	2.4711e-003
550	1.3196e-002
551	3.6056e-003
552	1.4748e-002
553	0.10594
554	0.25155
555	3.4498e-002
556	0.21364
557	0.166
558	4.8364e-004
559	0.13247
560	8.5618e-002
561	0.13199
562	0.98363
563	0.99949
564	0.99949
565	0.99927
566	0.97607
567	0.85299
568	0.99949
569	0.90751
570	0.86155
571	0.83764
572	0.89216
573	0.55704
574	0.73091
575	0.5094
576	0.31161
577	1.
578	1.
579	1.
580	1.
581	1.
582	1.
583	1.
584	1.
585	1.
586	1.
587	1.
588	1.
589	1.
590	1.
591	1.
592	1.
593	1.
594	1.
595	1.
596	1.
597	1.
598	1.
599	1.
600	1.
601	1.
602	1.
603	1.
604	1.
605	1.
606	1.
607	1.
608	1.
609	1.
610	1.
611	1.
612	1.
613	1.
614	1.
615	0.99849
616	0.92675
617	0.99849
618	0.89267
619	0.99849
620	0.99845
621	0.88348
622	0.99826
623	1.
624	1.
625	1.
626	1.
627	1.
628	1.
629	1.
630	1.
631	1.
